School Name,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
University Of Maine,State,"$41,200.00 ","$72,100.00 ","$41,700.00 ","$55,600.00 ","$99,300.00 ","$141,000.00 "
University of Maryland-Baltimore County,State,"$47,000.00 ","$77,800.00 ","$46,900.00 ","$59,100.00 ","$105,000.00 ","$130,000.00 "
University of Maryland at College Park,Party,"$52,000.00 ","$95,000.00 ","$50,400.00 ","$68,300.00 ","$126,000.00 ","$166,000.00 "
University of Maryland at College Park,State,"$52,000.00 ","$95,000.00 ","$50,400.00 ","$68,300.00 ","$126,000.00 ","$166,000.00 "
University of Massachusetts at Amherst,State,"$46,600.00 ","$88,200.00 ","$43,100.00 ","$61,300.00 ","$122,000.00 ","$168,000.00 "
University of Massachusetts at Boston,State,"$45,600.00 ","$78,200.00 ","$36,300.00 ","$53,800.00 ","$109,000.00 ","$151,000.00 "
University of Massachusetts at Dartmouth,State,"$43,200.00 ","$77,700.00 ","$43,300.00 ","$56,200.00 ","$107,000.00 ","$132,000.00 "
University of Massachusetts at Lowell,State,"$45,400.00 ","$86,600.00 ","$50,900.00 ","$65,000.00 ","$113,000.00 ","$158,000.00 "
University of Memphis,State,"$41,400.00 ","$69,700.00 ","$36,100.00 ","$49,100.00 ","$93,500.00 ","$127,000.00 "
University of Michigan,State,"$52,700.00 ","$93,000.00 ","$50,900.00 ","$69,400.00 ","$128,000.00 ","$182,000.00 "
University of Minnesota,State,"$46,200.00 ","$84,200.00 ","$49,000.00 ","$63,200.00 ","$112,000.00 ","$148,000.00 "
University of Mississippi,Party,"$41,400.00 ","$79,700.00 ","$40,400.00 ","$53,500.00 ","$108,000.00 ","$186,000.00 "
University of Mississippi,State,"$41,400.00 ","$79,700.00 ","$40,400.00 ","$53,500.00 ","$108,000.00 ","$186,000.00 "
University of Missouri at Columbia,State,"$41,700.00 ","$81,000.00 ","$43,500.00 ","$57,100.00 ","$111,000.00 ","$156,000.00 "
University of Missouri at Kansas City,State,"$38,900.00 ","$65,800.00 ","$36,300.00 ","$48,100.00 ","$95,800.00 ","$124,000.00 "
University of Missouri at Rolla,State,"$57,100.00 ","$95,800.00 ","$67,600.00 ","$80,400.00 ","$122,000.00 ","$166,000.00 "
University of Missouri at St. Louis,State,"$41,400.00 ","$67,100.00 ","$36,800.00 ","$49,600.00 ","$97,600.00 ","$144,000.00 "
