"stateid","state","level","control","counted_pct","awards_per_state_value","awards_per_natl_value","exp_award_state_value","exp_award_natl_value","state_appr_value"
"42","Pennsylvania","2-year","Private for-profit","75.5","32.3","26.3","22838","19798","165.78"
"44","Rhode Island","4-year","Public","65.2","18.8","20.5","70721","68617","162.73"
"44","Rhode Island","4-year","Private not-for-profit","79.9","26.6","22.6","101887","95725","162.73"
"44","Rhode Island","4-year","Private for-profit","","","19.0","","42645","162.73"
"44","Rhode Island","2-year","Public","63.0","13.1","14.2","67041","42759","162.73"
"44","Rhode Island","2-year","Private not-for-profit","","","25.0","","42217","162.73"
"44","Rhode Island","2-year","Private for-profit","","","26.3","","19798","162.73"
"45","South Carolina","4-year","Public","73.0","19.5","20.5","66766","68617","200.26"
"45","South Carolina","4-year","Private not-for-profit","72.9","17.4","22.6","79963","95725","200.26"
"45","South Carolina","4-year","Private for-profit","82.1","18.3","19.0","54076","42645","200.26"
"45","South Carolina","2-year","Public","49.2","12.7","14.2","40381","42759","200.26"
"45","South Carolina","2-year","Private not-for-profit","95.0","22.0","25.0","46343","42217","200.26"
"45","South Carolina","2-year","Private for-profit","49.3","25.4","26.3","20443","19798","200.26"
"46","South Dakota","4-year","Public","69.6","17.4","20.5","64847","68617","240.78"
"46","South Dakota","4-year","Private not-for-profit","64.5","20.8","22.6","67530","95725","240.78"
"46","South Dakota","4-year","Private for-profit","37.0","19.9","19.0","51554","42645","240.78"
"46","South Dakota","2-year","Public","70.5","28.6","14.2","25012","42759","240.78"
"46","South Dakota","2-year","Private not-for-profit","21.5","16.1","25.0","51828","42217","240.78"
"46","South Dakota","2-year","Private for-profit","","","26.3","","19798","240.78"
"47","Tennessee","4-year","Public","61.0","18.3","20.5","76508","68617","261.05"
"47","Tennessee","4-year","Private not-for-profit","76.9","21.0","22.6","106631","95725","261.05"
"47","Tennessee","4-year","Private for-profit","62.8","18.2","19.0","34607","42645","261.05"
"47","Tennessee","2-year","Public","52.4","13.2","14.2","47537","42759","261.05"
"47","Tennessee","2-year","Private not-for-profit","52.7","41.0","25.0","24380","42217","261.05"
"47","Tennessee","2-year","Private for-profit","52.7","23.5","26.3","17882","19798","261.05"
"48","Texas","4-year","Public","61.3","21.3","20.5","61328","68617","248.31"
"48","Texas","4-year","Private not-for-profit","68.6","23.2","22.6","80482","95725","248.31"
"48","Texas","4-year","Private for-profit","70.8","24.1","19.0","58413","42645","248.31"
"48","Texas","2-year","Public","32.5","12.8","14.2","48451","42759","248.31"
"48","Texas","2-year","Private not-for-profit","65.2","16.2","25.0","50787","42217","248.31"
"48","Texas","2-year","Private for-profit","67.2","22.3","26.3","14480","19798","248.31"
"49","Utah","4-year","Public","44.3","21.9","20.5","51103","68617","264.78"
"49","Utah","4-year","Private not-for-profit","61.3","18.5","22.6","67083","95725","264.78"
"49","Utah","4-year","Private for-profit","78.0","23.5","19.0","35504","42645","264.78"
"49","Utah","2-year","Public","49.3","19.4","14.2","33643","42759","264.78"
"49","Utah","2-year","Private not-for-profit","85.4","34.7","25.0","22312","42217","264.78"
"49","Utah","2-year","Private for-profit","68.9","41.3","26.3","24233","19798","264.78"
"50","Vermont","4-year","Public","66.5","22.4","20.5","97963","68617","150.54"
"50","Vermont","4-year","Private not-for-profit","85.2","21.8","22.6","101401","95725","150.54"
"50","Vermont","4-year","Private for-profit","56.7","21.7","19.0","45682","42645","150.54"
"50","Vermont","2-year","Public","11.8","16.4","14.2","51637","42759","150.54"
"50","Vermont","2-year","Private not-for-profit","19.4","21.5","25.0","201239","42217","150.54"
"50","Vermont","2-year","Private for-profit","","","26.3","","19798","150.54"
"51","Virginia","4-year","Public","69.5","21.0","20.5","64800","68617","237.29"
"51","Virginia","4-year","Private not-for-profit","78.4","18.7","22.6","67954","95725","237.29"
"51","Virginia","4-year","Private for-profit","51.4","22.4","19.0","33816","42645","237.29"
"51","Virginia","2-year","Public","26.4","13.8","14.2","38403","42759","237.29"
"51","Virginia","2-year","Private not-for-profit","","","25.0","","42217","237.29"
"51","Virginia","2-year","Private for-profit","75.9","27.3","26.3","15954","19798","237.29"
"53","Washington","4-year","Public","54.6","22.3","20.5","74555","68617","236.23"
"53","Washington","4-year","Private not-for-profit","69.0","24.2","22.6","68750","95725","236.23"
"53","Washington","4-year","Private for-profit","31.9","24.2","19.0","62957","42645","236.23"
"53","Washington","2-year","Public","13.0","17.2","14.2","34351","42759","236.23"
"53","Washington","2-year","Private not-for-profit","","","25.0","","42217","236.23"
"53","Washington","2-year","Private for-profit","53.8","19.3","26.3","12784","19798","236.23"
"54","West Virginia","4-year","Public","76.2","17.6","20.5","71402","68617","284.41"
