CLOSED DATE,OPEID,SCHOOL NAME                                                        ,LOCATION                                                       ,ADDRESS                                                       ,CITY          ,STATE,ZIP CODE,COUNTRY (FOREIGN)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12/31/1990,2180203,METRO BUSINESS COLLEGE,METRO BUSINESS COLLEGE,2233 WASHINGTON,SAINT LOUIS,MO,63103,
12/31/1990,2184300,EVERETT BEAUTY SCHOOL,EVERETT BEAUTY SCHOOL,2717 COLBY AVENUE,EVERETT,WA,98201,
12/31/1990,2297300,HARMAVILLE TRAINING INSTITUTE (CLOSED),HARMAVILLE TRAINING INSTITUTE (CLOSED),620 ALPHA DRIVE,PITTSBURGH,PA,15238,
12/31/1990,2327000,MONTANA INSTITUTE OF COSMETOLOGY ARTS & SCIENCE,MONTANA INSTITUTE OF COSMETOLOGY ARTS & SCIENCE,1216 W LINCOLN,BOZEMAN,MT,59715,
12/31/1990,2505500,GT SCHOOL OF DENTAL LABORATORY TECHNOLOGY,GT SCHOOL OF DENTAL LABORATORY TECHNOLOGY,2800 SAN JACINTO,HOUSTON,TX,77289,
12/31/1990,2510800,CALDWELL SCHOOL DISTRICT #132,CALDWELL SCHOOL DISTRICT #132,1101 CLEVELAND STREET,CALDWELL,ID,83605,
12/31/1991,630300,OUR LADY OF THE LAKE HOSPITAL SCHOOL OF NURSING,OUR LADY OF THE LAKE HOSPITAL SCHOOL OF NURSING,7500 HENNESSY BOULEVARD,BATON ROUGE,LA,70808,
12/31/1991,1196301,DELTA JUNIOR COLLEGE,DELTA COLG,511 WESTBANK EXPY,GRETNA,LA,70053,
12/31/1991,1226200,USA TRAINING ACADEMY HOME STUDY,USA TRAINING ACADEMY HOME STUDY,955 S CHAPEL STREET,NEWARK,DE,19714,
12/31/1991,1226206,USA TRAINING ACADEMY HOME STUDY,RESIDENT TRAINING SITE,1800 PENNSYLVANIA AVE,WILMINGTON,DE,19806,
12/31/1991,2100610,CARRINGTON COLLEGE,APOLLO COLLEGE,114 WEST CAMELBACK ROAD #103,PHOENIX,AZ,85013,
12/31/1991,2128402,CERTIFIED WELDING & TRADE SCHOOL,BRANCH,1028 E COMPTON BLVD,COMPTON,CA,90224,
12/31/1991,2158106,GOLDEN STATE SCHOOL,BRANCH,1661 NO RAYMOND STE 100,ANAHEIM,CA,92801,
12/31/1991,2233602,DOROTHEA B LANE SCHOOL,BRANCH CAMPUS LOCATION CLOSED   EFFECTIVE:  MARCH 14 1988,1800 PENNSYLVANIA AVE,WILMINGTON,DE,19806,
12/31/1991,2343701,CHICAGO TECHNOLOGICAL COLLEGE,BRANCH CAMPUS LOCATION,CARRETERA 125 KM 20.9,SAN SEBASTIAN,PR,755,
12/31/1991,2347219,BRANELL INSTITUTE,ADDITIONAL LOCATION              UALLEN CORRECTIONAL CTR,RT 1 BOX 83T,KINDER,LA,70648,
12/31/1991,2356800,USA TRAINING ACADEMY RESIDENT SCHOOL,USA TRAINING ACADEMY RESIDENT SCHOOL,955 S CHAPEL STREET,NEWARK,DE,19714,
12/31/1992,623600,ROCK ISLAND FRANCISCAN HOSPITAL SCHOOL OF,ROCK ISLAND FRANCISCAN HOSPITAL SCHOOL OF,2701 17TH STREET,ROCK ISLAND,IL,61201,
12/31/1992,865100,WILFRED ACADEMY,WILFRED ACADEMY,1212 CHESTNUT STREET,PHILADELPHIA,PA,19107,
12/31/1992,2165600,WILFRED ACADEMY OF HAIR & BEAUTY CULTURE,WILFRED ACADEMY OF HAIR & BEAUTY CULTURE,2300 W LAWRENCE AVE,CHICAGO,IL,60625,
